ID,FEMALE,RACE,SES,SCHTYP,PROG,READ,WRITE,MATH,SCIENCE,SOCST
63,1,4,1,1,1,52,65,60,56,51
1,1,1,1,1,3,,44,40,39,41
73,1,4,2,1,2,50,52,53,39,56
123,0,4,3,1,1,68,59,56,63,66
183,,4,2,2,2,63,59,49,55,71
31,1,2,2,2,1,55,59,52,42,56
108,0,4,2,1,1,,33,41,36,36
40,,3,1,1,1,42,41,43,50,41
107,0,4,1,1,3,47,39,47,42,26
141,0,4,3,1,3,63,44,47,53,56
99,1,4,3,1,1,47,59,56,66,61
56,0,4,2,1,3,55,45,46,58,51
149,0,4,1,1,1,63,49,49,66,46
82,1,4,3,1,2,68,,65,69,61
42,1,3,2,1,3,46,52,55,44,56
61,1,4,3,1,2,76,63,60,67,66
45,,3,1,1,3,34,35,41,29,26
15,0,1,3,1,3,39,,44,26,42
81,,4,1,1,2,63,43,59,65,44
187,1,4,2,2,1,57,,57,55,52
19,,1,1,1,1,28,46,43,44,51
67,0,4,1,1,3,37,,42,33,32
105,1,4,2,1,2,50,41,45,44,56
87,1,4,2,1,1,50,,,50,56
96,1,4,3,1,2,65,54,61,58,56
2,1,1,2,1,3,39,41,33,42,41
181,0,4,2,2,2,50,46,45,58,61
173,1,4,1,1,1,50,62,,63,51
167,0,4,2,1,1,63,49,35,66,41
18,0,1,2,1,3,50,33,49,44,36
55,1,3,2,2,2,52,49,49,44,61
106,1,4,2,1,3,36,44,37,42,41
136,0,4,2,1,2,65,59,,63,51
22,0,1,2,1,3,42,39,,56,46
114,0,4,3,1,2,68,65,62,55,61
103,,4,3,1,2,76,52,64,64,61
28,1,2,2,1,1,39,53,54,50,41
49,0,3,3,1,3,50,40,39,49,47
14,0,1,3,1,2,47,41,54,42,56
164,0,4,2,1,3,31,36,46,39,46
144,0,4,3,1,1,60,65,58,61,66
86,,4,3,1,1,44,33,,58,31
176,0,4,2,2,2,47,47,41,42,51
26,1,2,3,1,2,60,59,62,61,51
70,0,4,1,1,1,57,52,41,47,57
3,0,1,1,1,2,63,65,,63,56
192,0,4,3,2,2,65,67,63,66,71
124,1,4,1,1,3,42,54,41,42,41
91,1,4,3,1,3,50,49,56,,46
59,1,4,2,1,2,65,67,63,,71
195,0,4,2,2,1,57,57,60,58,56
174,0,4,2,2,2,68,59,71,66,56
80,0,4,3,1,2,65,62,68,,66
120,1,4,3,1,2,63,52,54,50,51
145,1,4,2,1,3,42,46,38,36,46
9,0,1,2,1,3,48,49,52,44,51
50,0,3,2,1,1,50,,42,53,61
4,1,1,1,1,2,44,50,41,39,51
157,0,4,2,1,1,68,59,,74,66
118,1,4,2,1,1,55,62,58,58,61
161,1,4,1,1,2,57,62,72,61,61
54,,3,1,2,1,47,54,46,50,56
101,1,4,3,1,2,,62,67,50,56
100,1,4,3,1,2,63,65,71,,71
150,0,4,2,1,3,42,41,57,72,31
84,0,4,2,1,1,63,57,54,58,51
148,1,4,2,1,3,42,57,51,47,61
37,1,3,1,1,3,41,47,40,39,51
169,0,4,1,1,1,55,59,63,69,46
66,1,4,2,1,3,68,62,56,50,51
48,0,3,2,1,2,57,,52,50,51
21,0,1,2,1,1,44,44,61,50,46
17,1,1,2,1,2,47,57,48,44,41
46,1,3,1,1,2,45,55,,34,41
25,1,2,2,1,1,47,44,42,42,36
125,1,4,1,1,2,68,65,58,59,56
155,0,4,2,1,1,44,44,46,39,51
138,1,4,2,1,3,43,57,40,50,51
115,,4,1,1,1,42,49,43,50,56
60,0,4,2,1,2,57,65,51,63,61
132,0,4,2,1,2,73,,73,69,66
168,0,4,2,1,2,52,54,57,,51
147,1,4,1,1,2,47,62,53,53,61
72,,4,2,1,3,42,54,47,47,46
189,0,4,2,2,2,47,59,63,53,46
89,1,4,1,1,3,35,35,40,51,33
34,1,1,3,2,2,73,61,57,55,66
165,0,4,1,1,3,36,49,,61,36
160,1,4,2,1,2,55,65,55,50,61
43,1,3,1,1,2,47,37,43,42,46
198,,4,3,2,2,47,61,51,63,31
200,0,4,2,2,2,,54,75,,66
127,0,4,3,1,2,63,59,57,55,56
154,0,4,3,1,2,65,65,66,61,66
93,1,4,3,1,2,73,67,62,58,66
186,1,4,2,2,2,57,62,63,55,41
27,0,2,2,1,2,53,61,61,,56
193,1,4,2,2,2,44,49,48,39,51
139,1,4,2,1,2,68,59,61,55,71
44,1,3,1,1,3,47,62,45,34,46
88,1,4,3,1,2,68,,64,69,66
30,1,2,3,1,2,41,59,42,34,51
178,0,4,2,2,3,47,57,57,58,46
64,1,4,3,1,3,50,52,45,,36
143,0,4,2,1,3,63,63,75,,66
77,1,4,1,1,2,61,59,49,44,66
162,1,4,2,1,3,57,52,40,,56
33,1,2,1,1,2,57,,72,54,56
57,1,4,2,1,2,71,65,72,66,56
171,,4,2,1,2,60,54,60,55,66

